Top queries,Clicks,Impressions,CTR,Position,cluster
duo win login download,405,890,45.51%,1.0,0
duo windows logon,399,636,62.74%,1.0,0
google account bypass,397,4431,8.96%,3.96,2
duo windows logon download,397,522,76.05%,1.0,0
duo proxy,394,806,48.88%,1.0,0
duo mobile admin,390,681,57.27%,1.02,0
duo proxy download,386,527,73.24%,1.0,0
duo vpn,378,1436,26.32%,1.03,0
duo for mac,368,562,65.48%,1.0,0
bluetooth speaker hack,367,907,40.46%,2.31,1
duo.com,364,1807,20.14%,1.0,0
duo mobile support,357,503,70.97%,1.0,0
duo trusted endpoints,351,737,47.63%,12.63,0
duo account,349,2261,15.44%,2.33,0
duo auth proxy download,340,443,76.75%,1.0,0
cisco duo pricing,334,1198,27.88%,1.0,0
cisco duo download,329,810,40.62%,1.09,0
download duo,326,2989,10.91%,3.58,0
duo support number,323,912,35.42%,1.6,0
duo token,315,2120,14.86%,1.08,0
duo mobile admin login,314,578,54.33%,1.17,0
duo mobile app download,293,4111,7.13%,3.32,0
duo it help desk,291,660,44.09%,1.01,0
duo security app,286,2165,13.21%,2.39,0
duo mobile for pc,272,397,68.51%,1.32,0
duo win game,265,2619,10.12%,2.45,0
duo careers,265,519,51.06%,1.07,0
duo yubikey,263,675,38.96%,1.07,0
duo two factor authentication,257,2071,12.41%,1.06,0
duo app for pc,254,589,43.12%,1.08,0
cisco duo mfa,252,1645,15.32%,5.98,0
bluetooth hacking,250,2435,10.27%,5.56,1
dou mobile,248,1576,15.74%,2.21,3
duo for windows logon,248,393,63.1%,1.02,0
duo enrollment portal,247,480,51.46%,1.02,0
duo windows login,243,418,58.13%,1.0,0
duo radius,242,591,40.95%,1.0,0
duo login portal,239,559,42.75%,1.54,0
2fakey,237,1463,16.2%,3.47,0
duo app download,235,5254,4.47%,3.42,0
duo iam,234,503,46.52%,1.11,0
duo admin login portal,233,437,53.32%,1.56,0
duo desktop app download,229,337,67.95%,1.0,0
duo mobile sign in,229,314,72.93%,1.0,0
duo multi factor authentication,228,1680,13.57%,1.4,0
duo download windows,227,358,63.41%,1.0,0
cisco identity intelligence,225,1280,17.58%,2.56,0
duo for windows,225,476,47.27%,1.01,0
duo unix,225,319,70.53%,1.02,0
cloudmapper,223,2534,8.8%,2.46,-1
duo mobile log in,220,295,74.58%,1.02,0
download duo for windows,216,322,67.08%,1.0,0
otp bypass,215,5185,4.15%,5.42,0
duo mobile help,215,317,67.82%,1.0,0
bypass google account 2024,213,2429,8.77%,5.09,2
duo portal login,212,420,50.48%,1.46,0
duo security admin login,212,346,61.27%,1.18,0
duo ad sync,212,282,75.18%,1.0,0
how to hack bluetooth speaker,210,761,27.6%,1.92,1
duo admin center,210,364,57.69%,1.0,0
duo passwordless windows login,208,436,47.71%,1.0,0
duo authentication app,203,2058,9.86%,2.19,0
duo moblie,203,779,26.06%,1.88,0
duosecurity.com login,203,362,56.08%,1.41,0
duo access gateway,202,534,37.83%,1.41,0
duo client download,200,281,71.17%,1.0,0
duo setup,198,862,22.97%,1.2,0
duo auth api,198,275,72%,1.0,0
duo desktop installer,198,267,74.16%,1.0,0
duo documentation,197,323,60.99%,1.0,0
2fa code,196,21572,0.91%,11.04,0
duo mobil,195,1723,11.32%,2.63,0
duo authenticator app,195,1573,12.4%,1.85,0
duo licensing,193,878,21.98%,1.13,0
duo dashboard,192,491,39.1%,1.6,0
cisco duo support,191,505,37.82%,1.06,0
mfa duo,189,988,19.13%,1.01,0
admin.duo,189,329,57.45%,1.02,0
duo windows download,189,244,77.46%,1.0,0
duo mobile apk,187,5208,3.59%,7.5,0
duo saml,186,357,52.1%,1.03,0
duo management portal,185,370,50%,1.0,0
how to hack bluetooth,184,887,20.74%,2.2,1
duo essentials,184,600,30.67%,1.03,0
duo mobile it help desk,181,298,60.74%,1.0,0
cisco duo security,180,1088,16.54%,1.06,0
duo win app,180,966,18.63%,1.0,0
duo dng,177,233,75.97%,1.0,0
duo help desk,173,354,48.87%,1.03,0
8t0mmehbxdbmhncgqerj-yxbpltu5mmiwnjljlmr1b3nly3vyaxr5lmnvbq,173,289,59.86%,1.0,-1
login duo,171,612,27.94%,3.12,0
duo autenticador,171,574,29.79%,1.57,-1
how to bypass google account,170,1877,9.06%,2.63,2
acme duo,170,293,58.02%,1.04,0
duo mobile for mac,170,256,66.41%,1.0,0
duo federal,169,373,45.31%,1.0,0
"duo security, inc.",167,668,25%,1.0,0
hack bluetooth,166,1798,9.23%,6.68,1
cisco duo mobile,166,1089,15.24%,1.95,0
duo account login,165,241,68.46%,1.04,0
duo push app,163,1615,10.09%,2.36,0
duo hardware token,162,1605,10.09%,2.65,0
duo security admin,161,289,55.71%,1.01,0
duo auth,160,619,25.85%,1.0,0
duo desktop authentication,160,248,64.52%,1.0,0
duo authentication for windows logon x64,159,293,54.27%,1.0,0
cisco duo app,157,1972,7.96%,2.38,0
duo security llc,157,568,27.64%,1.01,0
duo moble,157,553,28.39%,1.72,0
duo windows,154,432,35.65%,1.03,0
duo risk based authentication,152,202,75.25%,1.0,0
2fa key,151,2641,5.72%,8.49,0
duo user login,151,255,59.22%,1.15,0
2factor code,150,754,19.89%,1.93,0
hack speaker,149,642,23.21%,1.71,1
install duo desktop,149,212,70.28%,1.0,0
bluetooth hacker,148,1110,13.33%,5.57,1
bluetooth hacked,148,534,27.72%,3.2,1
ciscoduo,148,491,30.14%,1.68,0
acme duo mobile,148,254,58.27%,1.02,0
duo movile,147,1174,12.52%,2.52,0
duo website,146,780,18.72%,1.88,0
duo release notes,146,245,59.59%,1.02,0
duo admin panel login,145,302,48.01%,1.34,0
duo verification,144,595,24.2%,1.06,0
duo single sign on,143,484,29.55%,1.0,0
bluetooth hacking app,143,458,31.22%,1.7,1
bluetooth hacker prank,143,457,31.29%,3.12,1
identity security for dummies,142,549,25.87%,1.13,0
duo mobile customer service,142,422,33.65%,1.79,0
due mobile,141,841,16.77%,2.15,4
duo docs,141,193,73.06%,1.0,0
duo advantage,140,585,23.93%,3.39,0
duo oidc,140,242,57.85%,1.0,0
duo directory sync,140,233,60.09%,1.0,0
duo mobile desktop app,140,233,60.09%,1.0,0
what is duo,139,7923,1.75%,2.73,0
duo application,139,1431,9.71%,2.98,0
duo self enrollment,137,240,57.08%,1.01,0
duo device health,134,291,46.05%,1.13,0
duo desktop authenticators,133,208,63.94%,1.0,0
duo central login,132,222,59.46%,1.0,0
duo mfa pricing,131,970,13.51%,1.08,0
duo.com login,131,237,55.27%,1.01,0
duo student login,131,189,69.31%,1.22,0
duo for desktop,130,244,53.28%,1.0,0
bluetooth hack app,129,645,20%,2.35,1
duo web,128,829,15.44%,2.51,0
duo app login,128,243,52.67%,1.14,0
suporte duo mobile,126,177,71.19%,1.03,0
duo admin roles,126,170,74.12%,1.0,0
duodesktop,125,276,45.29%,1.04,0
duo windows app,125,186,67.2%,1.1,0
cisco duo admin portal,124,251,49.4%,1.16,0
duo authentication download,124,216,57.41%,1.18,0
download duo mobile,123,613,20.07%,2.52,0
duo authentication methods,123,262,46.95%,1.05,0
duo mobile account,123,216,56.94%,1.06,0
duo mobile mac,123,198,62.12%,1.05,0
duo two factor,121,555,21.8%,1.0,0
cisco duo licensing,121,424,28.54%,1.0,0
duo mobile online,121,237,51.05%,1.03,0
duo mobile para pc,121,163,74.23%,1.11,0
duo admin log in,121,154,78.57%,1.88,0
duo cii,121,146,82.88%,1.0,0
duo checksums,121,141,85.82%,1.0,0
enroll in duo,120,392,30.61%,1.21,0
duo universal prompt,119,1155,10.3%,2.33,0
duo authentication for windows logon x64 download,118,212,55.66%,1.0,0
yubikey duo,117,309,37.86%,1.02,0
mobile duo,116,2119,5.47%,3.52,0
download duo mobile app,115,901,12.76%,2.88,0
duo mac,115,435,26.44%,1.13,0
duo for windows login,115,180,63.89%,1.0,0
duo winlogon,115,163,70.55%,1.0,0
duo desktop mac,114,208,54.81%,1.02,0
duo ldap proxy,114,206,55.34%,1.0,0
verified duo push,114,193,59.07%,1.04,0
duo idp,113,494,22.87%,1.32,0
bluetooth hack apk,113,362,31.22%,3.65,1
duo api documentation,113,171,66.08%,1.0,0
duo policy,113,165,68.48%,1.0,0
admin api duo,113,142,79.58%,1.0,0
duo online,112,2336,4.79%,3.87,0
login duo mobile,112,167,67.07%,1.2,0
cisco duo sso,111,448,24.78%,1.1,0
admin duo login,111,349,31.81%,1.85,0
duo partner portal,111,196,56.63%,1.0,0
duo adfs,111,157,70.7%,1.0,0
duo identity intelligence,111,156,71.15%,1.01,0
duo desktop for mac,110,174,63.22%,1.02,0
duo auth proxy release notes,110,159,69.18%,1.0,0
two-factor authentication,109,26459,0.41%,7.05,0
proxy,109,6160,1.77%,46.7,0
duo install,109,414,26.33%,2.16,0
cisco duo free,109,383,28.46%,1.05,0
cisco duo api,109,165,66.06%,1.0,0
duo customer service,108,632,17.09%,2.04,0
cisco duo desktop,108,217,49.77%,1.0,0
duo mobile app for windows,108,182,59.34%,1.03,0
duo security authentication proxy,107,364,29.4%,1.0,0
cisco duo essentials,107,256,41.8%,1.04,0
kaminsky attack,106,583,18.18%,2.12,5
hack bluetooth speaker,106,547,19.38%,3.43,1
duo mobile下载,106,539,19.67%,3.35,0
duo cost,106,373,28.42%,1.19,0
duo mobile contact support,106,156,67.95%,1.0,0
cisco duo admin panel,104,137,75.91%,1.0,0
duo license,103,324,31.79%,1.14,0
duo help,103,272,37.87%,1.67,0
download duo authentication proxy,103,125,82.4%,1.0,0
duo security passkey,102,363,28.1%,1.0,0
duo console,102,252,40.48%,1.21,0
duo directory,102,213,47.89%,1.19,0
duo macos,102,162,62.96%,1.0,0
duo desktop release notes,102,129,79.07%,1.0,0
duo pc,101,358,28.21%,2.31,0
duo authentication for windows logon installer,101,213,47.42%,1.0,0
duo app for windows,101,188,53.72%,1.02,0
duo desktop for windows,101,163,61.96%,1.0,0
duo security desktop app,101,155,65.16%,1.23,0
duologin,99,529,18.71%,1.18,0
duo security.com,99,217,45.62%,1.0,0
duo device management,99,187,52.94%,1.06,0
duo amdin,99,161,61.49%,1.02,0
duo logon,99,157,63.06%,1.09,0
duo entra id,99,149,66.44%,1.0,0
duo trust monitor,99,148,66.89%,1.0,0
duo mobile authenticator app,98,996,9.84%,2.28,0
mfa.aa.com duo,98,252,38.89%,2.28,0
duo secuirty,98,210,46.67%,1.0,0
duo telephony credits,98,169,57.99%,1.0,-1
duo mobile web,98,146,67.12%,1.02,0
duo agent download,98,145,67.59%,1.0,0
duo desktop install,98,128,76.56%,1.0,0
duo mobile download windows,98,127,77.17%,1.0,0
duo win lottery,97,2384,4.07%,3.33,0
super bluetooth hack,97,635,15.28%,2.86,1
duo msp,97,280,34.64%,1.0,0
duo security jobs,97,207,46.86%,2.71,0
mfa fatigue,96,4956,1.94%,3.45,0
duo tokens,96,407,23.59%,1.0,0
cisco duo windows login,96,154,62.34%,1.0,0
gmail phishing links,95,946,10.04%,8.68,6
2fa.com,94,4189,2.24%,6.02,0
duo fob,94,419,22.43%,1.17,0
duo mobile windows,94,175,53.71%,1.02,0
duo owa,94,156,60.26%,1.16,0
duo policies,94,146,64.38%,1.0,0
download duo desktop for windows,94,133,70.68%,1.0,0
duo installer download,94,117,80.34%,1.0,0
duo desktop download windows,94,112,83.93%,1.0,0
2f authentication,93,2246,4.14%,3.16,0
cisco duo price,93,595,15.63%,1.12,0
blutooth hack,93,154,60.39%,1.77,1
cisco duo desktop app,93,140,66.43%,1.0,0
duo qr code login,93,131,70.99%,1.15,0
duo mfa windows login,92,275,33.45%,1.05,0
duo demo,92,275,33.45%,1.16,0
duo mobile for windows,92,168,54.76%,2.36,0
duo editions,91,262,34.73%,1.15,0
duo security it help desk,91,173,52.6%,1.0,0
cisco duo authentication proxy,91,159,57.23%,1.0,0
duo key fob,90,451,19.96%,1.01,0
duo security enrollment,90,226,39.82%,1.16,0
duo external authentication method,90,143,62.94%,1.0,0
duocentral,90,143,62.94%,1.01,0
install duo,89,394,22.59%,2.49,0
duo fortigate ssl vpn,89,143,62.24%,1.0,0
duo linux install,89,122,72.95%,1.0,0
google bypass,88,3265,2.7%,7.6,2
duo mobile app for android,88,1722,5.11%,4.1,0
duo care,88,1393,6.32%,4.41,0
duo price,88,515,17.09%,2.52,0
cisco duo documentation,88,180,48.89%,1.0,0
duo mac install,88,111,79.28%,1.0,0
duo mobile giriş,87,289,30.1%,2.38,0
duo admin portal login,87,214,40.65%,1.79,0
duo bypass code,86,855,10.06%,2.98,0
duo mobile passcode,86,239,35.98%,1.59,0
duo proxy configuration,86,140,61.43%,1.0,0
dup admin,86,111,77.48%,1.0,3
duo mobile authenticator,85,633,13.43%,2.27,0
duo two factor authentication login,85,132,64.39%,1.0,0
windows logon duo,85,102,83.33%,1.0,0
ad sync duo,85,95,89.47%,1.0,0
cisco duo iam,84,153,54.9%,1.29,0
cisco duo passport,84,120,70%,1.0,0
how to bypass,83,10265,0.81%,4.35,2
how to turn off 2-step verification without signing in,83,6218,1.33%,7.65,-1
gmail phishing link,83,757,10.96%,8.49,6
duo security pricing,83,613,13.54%,1.27,0
duo cisco login,83,267,31.09%,1.0,0
duo passwordless authentication,83,230,36.09%,1.0,0
bluetooth device hack,83,150,55.33%,1.43,1
"endpoint trust is unknown because there are no active trusted endpoints 
configurations.",82,341,24.05%,2.03,0
duo plans,82,250,32.8%,1.19,0
duo administrator,82,169,48.52%,1.0,0
duomobile login,82,143,57.34%,1.03,0
login to duo mobile,82,106,77.36%,1.01,0
duo self-service portal,81,140,57.86%,1.0,0
duo support desk,81,123,65.85%,1.02,0
duo passcode,80,289,27.68%,1.0,0
duo authproxy,80,110,72.73%,1.0,0
duo windows logon installer,80,102,78.43%,1.0,0
duo security windows download,80,93,86.02%,1.0,0
duo mfa login,79,268,29.48%,1.0,0
duo identity management,79,261,30.27%,1.0,0
duo authentication for windows,79,207,38.16%,1.0,0
duo authentication login,79,171,46.2%,1.02,0
login to duo,79,156,50.64%,1.38,0
duo mobile.com,79,136,58.09%,1.29,0
duo desktop authenticator download,79,118,66.95%,1.0,0
duo desktop latest version,79,99,79.8%,1.0,0
duo desktop download mac,79,98,80.61%,1.0,0
what is duo security,78,1360,5.74%,1.9,0
duo webauthn,78,135,57.78%,1.0,0
duo linux,78,135,57.78%,1.01,0
cisco duo installation guide,78,126,61.9%,1.02,0
trusted endpoints duo,78,99,78.79%,1.0,0
bluebugger,77,281,27.4%,4.07,1
cisco due,77,218,35.32%,1.12,4
how to bypass google account verification,76,482,15.77%,1.31,2
how to hack a bluetooth speaker,76,320,23.75%,2.41,1
mfa.aa.com,75,631,11.89%,4.91,0
duo 2 factor authentication,75,402,18.66%,1.14,0
bluetooth speaker hacking,75,191,39.27%,2.59,1
duo security.,75,167,44.91%,1.04,0
duo radius server,75,149,50.34%,1.0,0
duo ldap,75,113,66.37%,1.0,0
what is duo mobile,74,6311,1.17%,1.81,0
duo security cisco,74,1048,7.06%,2.09,0
duo mobile authentication,74,348,21.26%,1.5,0
duo packages,74,250,29.6%,2.32,0
duo self service,74,176,42.05%,1.0,0
cisco duo sunglasses,74,154,48.05%,1.0,-1
cisco duo desktop download,74,91,81.32%,1.0,0
duo routing rules,74,85,87.06%,1.0,-1
duo control panel,73,219,33.33%,1.29,0
duo web sdk,73,168,43.45%,1.0,0
it help desk duo mobile,73,161,45.34%,1.02,0
cisco duo rdp,73,119,61.34%,1.0,0
cisco duo demo,73,104,70.19%,1.04,0
cisco dup,72,227,31.72%,1.06,3
duo windows rdp,72,111,64.86%,1.0,0
duo',71,1662,4.27%,1.71,0
duo for pc,71,476,14.92%,1.28,0
duo blog,71,451,15.74%,1.67,0
duo mobile security,71,421,16.86%,3.0,0
how to bypass google verification,71,412,17.23%,1.2,2
duo set up,71,226,31.42%,1.19,0
duo remote desktop,71,211,33.65%,1.0,0
duo on mac,71,110,64.55%,1.0,0
dou admin,71,85,83.53%,1.0,3
duo mobile instagram,70,1097,6.38%,5.72,0
duo active directory sync,70,104,67.31%,1.0,0
duo-win-login,70,101,69.31%,1.0,0
duo security api,70,98,71.43%,1.0,0
duo windows login download,70,80,87.5%,1.0,0
bluetooth hacking tools,69,655,10.53%,1.63,1
duo fedramp,69,144,47.92%,1.0,-1
duo mobile desktop,69,133,51.88%,1.0,0
duo app for mac,69,132,52.27%,1.0,0
cisco duo proxy,69,117,58.97%,1.0,0
download duo authentication for windows logon,69,87,79.31%,1.0,0
bypass google,68,2037,3.34%,6.81,2
duo latest version,68,146,46.58%,1.6,0
duo rd gateway,68,122,55.74%,1.0,0
cisco duo license,67,397,16.88%,1.01,0
duo push notification,67,210,31.9%,1.0,0
duo gateway,67,111,60.36%,1.0,0
duo.com admin,67,98,68.37%,1.01,0
duo mobile soporte,67,80,83.75%,1.0,0
duo logo,66,2252,2.93%,3.17,0
duo com,66,412,16.02%,1.03,0
duo jobs,66,356,18.54%,2.61,0
www.duo.com login,66,204,32.35%,1.08,0
dua win login,66,130,50.77%,1.0,3
duo.admin,66,99,66.67%,1.01,0
cisco identity intelligence duo,66,89,74.16%,1.0,0
duo authentication proxy release notes,66,80,82.5%,1.0,0
duo mobile đăng nhập,65,654,9.94%,3.77,0
dup mobile,65,426,15.26%,2.22,3
hacking bluetooth,65,369,17.62%,3.86,1
duo premier,65,226,28.76%,2.26,0
cisco cii,65,168,38.69%,1.15,-1
duo phishing resistant mfa,65,112,58.04%,1.0,0
eam duo,65,78,83.33%,1.0,0
2fa authentication code,64,1087,5.89%,5.94,0
is duo free,64,404,15.84%,1.19,0
duo mobile setup,64,366,17.49%,2.87,0
duo security free,64,251,25.5%,1.04,0
cisco duo network gateway,64,92,69.57%,1.02,0
duo palo alto,64,87,73.56%,1.0,7
duo security support,64,86,74.42%,1.0,0
duo google workspace,64,85,75.29%,1.04,0
duo security authentication proxy download,64,77,83.12%,1.0,0
2fa duo,63,213,29.58%,1.02,0
duo passkeys,63,137,45.99%,1.01,0
duo logs,63,126,50%,1.0,0
duo mobile cost,63,125,50.4%,1.02,0
duo msp login,63,103,61.17%,1.01,0
duo security sign in,63,83,75.9%,1.0,0
duo desktop windows download,63,79,79.75%,1.0,0
hotp vs totp,62,1647,3.76%,2.69,0
duo software,62,1008,6.15%,1.76,0
duo support phone number,62,267,23.22%,1.67,0
duo security ann arbor,62,169,36.69%,1.0,0
no-reply@duosecurity.com,62,130,47.69%,1.01,0
duo dashboard login,62,109,56.88%,1.72,0
duo api hostname,62,89,69.66%,1.0,-1
duo security help,62,85,72.94%,1.0,0
duosecurity login,62,83,74.7%,1.05,0
duo activation code,61,1197,5.1%,2.3,0
duo win game login,61,428,14.25%,1.73,0
identity security for dummies pdf,61,151,40.4%,1.13,0
cisco duo advantage,61,150,40.67%,1.0,0
duo mobile enrollment,61,129,47.29%,1.15,0
duo demos,61,99,61.62%,1.01,0
duo desktop login,61,79,77.22%,1.0,0
duo security mfa,60,398,15.08%,1.2,0
duo manage devices,60,215,27.91%,2.08,0
duo concentrix,60,180,33.33%,2.54,-1
cisco ise duo integration,60,108,55.56%,1.14,0
duo admin sign in,60,86,69.77%,1.47,0
duo proximity push,60,83,72.29%,1.0,0
duo security download windows,60,77,77.92%,1.0,0
authenticator app,59,20524,0.29%,14.63,0
admin.duo security com/login,59,310,19.03%,2.0,0
duo sec,59,247,23.89%,1.13,0
duosecurity.com portal,59,214,27.57%,1.88,0
duo registration,59,179,32.96%,1.56,0
download duo security,59,136,43.38%,1.22,0
duo mobile website,59,121,48.76%,1.0,0
cisco duo passwordless,59,108,54.63%,1.01,0
duo office 365,59,106,55.66%,1.0,0
duo ssh,59,105,56.19%,1.01,0
duo mobile suporte,59,90,65.56%,1.0,0
2fac authentication,58,1632,3.55%,1.89,0
bluetooth hacking device,58,196,29.59%,2.06,1
duo sso login,58,102,56.86%,1.0,0
how to download duo desktop,58,83,69.88%,1.0,0
duo msi download,58,78,74.36%,1.0,0
duo desktop mac download,58,68,85.29%,1.0,0
duo mobile student login,58,65,89.23%,1.0,0
mfa,57,106037,0.05%,12.89,0
duo mobile คือ,57,670,8.51%,1.25,0
bluetooth hacker prank app,57,298,19.13%,3.81,1
duoportal,57,147,38.78%,1.03,0
duo for rdp,57,125,45.6%,1.0,0
cisco duo saml,57,90,63.33%,1.16,0
cisco duo windows logon,57,75,76%,1.0,0
two factor,56,5254,1.07%,7.44,0
duo administration,56,265,21.13%,1.0,0
duoauthproxy,56,126,44.44%,1.0,0
duo mobile app login,56,89,62.92%,1.0,0
duo roles,56,86,65.12%,1.0,0
duo mobile for laptop,56,79,70.89%,1.05,0
download duo for mac,56,73,76.71%,1.0,0
how to set up duo,55,487,11.29%,1.84,0
duo 2 factor,55,411,13.38%,1.16,0
duo monile,55,385,14.29%,2.44,-1
duomobil,55,331,16.62%,2.64,0
duo authentication for windows logon and rdp,55,148,37.16%,1.0,0
duo mobile phone number,55,140,39.29%,1.75,0
duo mobile pricing,55,105,52.38%,1.0,0
duo meraki vpn,55,81,67.9%,1.0,0
download duo rdp,55,78,70.51%,1.0,0
passwordless duo,55,78,70.51%,1.0,0
duo mobile pc download,55,74,74.32%,1.04,0
duoadmin login,55,73,75.34%,1.03,0
meraki duo,54,474,11.39%,26.45,0
duo otp,54,331,16.31%,1.05,0
bluesnarfing app,54,183,29.51%,2.04,1
duo windows logon msi,54,82,65.85%,1.0,0
duo authentication for windows download,54,80,67.5%,1.0,0
duo self service password reset,54,80,67.5%,1.02,0
duo workstation installer,54,65,83.08%,1.03,0
duo mac download,54,62,87.1%,1.0,0
cisco duo mobile app,53,584,9.08%,2.64,0
instagram activation code for duo mobile,53,258,20.54%,1.57,0
duo oauth,53,194,27.32%,1.0,0
duo password manager,53,191,27.75%,5.43,0
duo passkey,53,173,30.64%,1.1,0
duo device trust,53,156,33.97%,1.01,0
cisco dou,53,136,38.97%,1.06,3
duo mobile تسجيل الدخول,53,128,41.41%,1.98,0
cisco duo portal,53,104,50.96%,1.0,0
duo radius proxy,53,90,58.89%,1.0,0
duo software download,53,83,63.86%,1.01,0
duo auth proxy reference,53,70,75.71%,1.0,0
duo for mac download,53,65,81.54%,1.0,0
2 fa,52,14252,0.36%,10.26,0
fido2 webauthn,52,1870,2.78%,4.69,8
mfa.ascension.org,52,213,24.41%,3.35,0
duo licenses,52,192,27.08%,1.0,0
sso duo,52,183,28.42%,1.04,0
duo for macos,52,66,78.79%,1.0,0
duo add admin user,52,63,82.54%,1.03,0
dng duo,52,62,83.87%,1.0,0
duo mobile self service portal,52,61,85.25%,1.0,0
cisco duo datasheet,51,726,7.02%,4.25,0
duo totp,51,213,23.94%,2.17,0
dou login,51,145,35.17%,2.98,3
due security,51,104,49.04%,1.0,-1
log into duo,51,87,58.62%,1.02,0
duo sync,51,86,59.3%,1.0,0
download duo mobile for windows,51,84,60.71%,1.0,0
duo windows logon release notes,51,56,91.07%,1.0,0
totp vs hotp,50,1412,3.54%,2.88,0
duo access,50,1007,4.97%,10.34,0
duo mfa app,50,298,16.78%,1.94,0
duomobile app,50,222,22.52%,1.75,0
1password duo,50,174,28.74%,1.16,0
cisco duo cost,50,145,34.48%,1.55,0
speaker hack,50,110,45.45%,1.86,1
duo fido2,50,102,49.02%,1.23,0
novel asn,50,99,50.51%,1.0,-1
duo rdp installer,50,86,58.14%,1.0,0
add yubikey to duo,50,81,61.73%,1.0,0
duo mfa download,50,73,68.49%,1.0,0
duo mobile help desk,50,71,70.42%,1.0,0
download cisco duo for windows,50,68,73.53%,1.0,0
download cisco duo,50,67,74.63%,1.1,0
duo security mac,50,62,80.65%,1.0,0
"let's talk about responsible disclosure. in 2014, how many working days was 
the maintainer to be given from the date of contact to contact the 
originator before disclosure?",49,234,20.94%,1.06,9
duo mfa cost,49,167,29.34%,6.35,0
duo authentication proxy manager,49,96,51.04%,1.0,0
citrix duo,49,93,52.69%,1.0,-1
duo mobile web login,49,70,70%,1.01,0
fortigate duo radius,49,67,73.13%,1.0,0
duo desktop agent,49,66,74.24%,1.0,0
dua admin,49,63,77.78%,1.0,3
cisco duo download for windows,49,62,79.03%,1.0,0
download duo desktop for mac,49,57,85.96%,1.0,0
duo partner,48,1624,2.96%,2.5,0
